,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
220,CALD1,2.119606519,-4.44E-16,11.53067958,1.24E-26,9.02E-25,49.72221807
221,VIP,2.117786501,1.35E-16,11.51737347,1.39E-26,1.01E-24,49.60880033
222,EZH1,2.117396812,-1.86E-16,11.51452599,1.42E-26,1.03E-24,49.58453744
223,FLT4,2.116543652,-6.25E-17,11.50829379,1.50E-26,1.08E-24,49.53144403
224,AOC3,2.115430422,-8.58E-17,11.50016572,1.61E-26,1.15E-24,49.46222021
225,TMEM196,2.112931153,-5.88E-17,11.4819337,1.89E-26,1.34E-24,49.30703112
226,C16orf45,2.111792935,-1.41E-16,11.47363779,2.03E-26,1.44E-24,49.23645681
227,ADRA1D,2.110767516,-6.14E-16,11.46616794,2.16E-26,1.53E-24,49.17293115
228,EDNRA,2.11070369,3.04E-16,11.46570311,2.17E-26,1.53E-24,49.16897876
229,PRDM8,2.110610315,2.39E-16,11.4650231,2.18E-26,1.53E-24,49.16319695
230,AKT3,2.110265947,-1.53E-16,11.46251552,2.23E-26,1.55E-24,49.14187732
231,EMCN,2.110093532,-1.61E-16,11.4612602,2.25E-26,1.56E-24,49.13120539
232,FHL5,2.109832756,-1.19E-16,11.45936174,2.29E-26,1.58E-24,49.11506691
233,KIF15,-2.109315779,-1.11E-17,-11.45559883,2.37E-26,1.63E-24,49.08308304
234,OLFML2A,2.109029267,5.70E-16,11.45351381,2.41E-26,1.65E-24,49.06536303
235,SLC24A3,2.108270543,3.34E-16,11.44799377,2.53E-26,1.72E-24,49.01845738
236,NPY5R,2.107478605,1.32E-16,11.44223425,2.65E-26,1.80E-24,48.96952856
237,C7,2.1064637,-5.17E-17,11.43485638,2.83E-26,1.91E-24,48.90686893
238,RYR3,2.105625533,1.03E-16,11.42876603,2.98E-26,2.01E-24,48.85515903
239,CMA1,2.10440923,8.56E-18,11.41993242,3.22E-26,2.15E-24,48.78018159
240,SYT15,2.104383255,1.89E-16,11.41974382,3.22E-26,2.15E-24,48.77858114
241,TEF,2.102586327,7.93E-16,11.40670295,3.60E-26,2.40E-24,48.66794645
242,HIC1,2.102450868,-2.45E-16,11.40572034,3.63E-26,2.41E-24,48.65961281
243,C3orf70,2.101657855,-1.62E-16,11.39996915,3.82E-26,2.52E-24,48.61084331
244,PLN,2.10088143,-5.77E-17,11.3943404,4.01E-26,2.63E-24,48.56312378
245,CLIC2,2.097670404,-1.51E-17,11.37108405,4.89E-26,3.20E-24,48.36608393
246,CCNE1,-2.09679695,-4.08E-16,-11.36476412,5.17E-26,3.37E-24,48.31257254
247,ANTXR2,2.096679045,1.79E-16,11.36391121,5.20E-26,3.38E-24,48.30535201
248,FEN1,-2.094906705,-2.67E-16,-11.35109618,5.81E-26,3.76E-24,48.19689521
249,FOXP2,2.093723046,-1.13E-17,11.34254369,6.25E-26,4.02E-24,48.12454713
250,MAS1,2.093555017,-6.43E-17,11.34132999,6.31E-26,4.05E-24,48.11428228
251,FGF2,2.092418296,2.36E-16,11.33312187,6.77E-26,4.33E-24,48.04487637
252,RSPO1,2.091303923,-5.14E-17,11.32507943,7.26E-26,4.62E-24,47.97689569
253,FAM83H,-2.091197924,-4.37E-16,-11.32431466,7.31E-26,4.63E-24,47.9704325
254,GINS1,-2.089801206,1.73E-16,-11.31424108,7.96E-26,5.03E-24,47.88531976
255,PEG3,2.089563269,-1.54E-17,11.31252567,8.08E-26,5.08E-24,47.87082984
256,ECT2,-2.089339562,9.01E-17,-11.31091303,8.19E-26,5.13E-24,47.857209
257,RTKN2,-2.08909974,-3.02E-17,-11.30918441,8.32E-26,5.19E-24,47.8426096
258,JAZF1,2.087583729,5.50E-16,11.29826167,9.13E-26,5.68E-24,47.75038543
259,TMEM63B,-2.086759706,8.44E-16,-11.29232796,9.61E-26,5.95E-24,47.7003038
260,FBXO40,2.084512121,-1.68E-16,11.2761551,1.10E-25,6.80E-24,47.56386865
261,CLEC3B,2.083581239,-1.60E-16,11.26946184,1.17E-25,7.18E-24,47.50743251
262,DBNDD1,-2.082311154,-4.69E-16,-11.26033438,1.26E-25,7.73E-24,47.43049883
263,HIST1H2AM,-2.08142421,1.69E-16,-11.25396362,1.33E-25,8.13E-24,47.37681936
264,LRRN4CL,2.080869912,8.51E-17,11.24998355,1.38E-25,8.38E-24,47.34329139
265,HDGF,-2.080392682,-4.70E-16,-11.2465577,1.42E-25,8.60E-24,47.31443688
266,FAM180A,2.077623243,-1.43E-16,11.22669217,1.68E-25,1.01E-23,47.14720507
267,CRHBP,2.07634284,-5.17E-17,11.21751646,1.82E-25,1.09E-23,47.07001237
268,SOX15,2.075588123,2.84E-17,11.21211054,1.91E-25,1.14E-23,47.02454882
269,KCNMB1,2.075241698,-6.38E-17,11.2096298,1.95E-25,1.16E-23,47.00368958
270,TLCD1,-2.074790501,-3.47E-16,-11.2063994,2.00E-25,1.19E-23,46.97653033
271,F10,2.07316879,-3.94E-17,11.1947942,2.21E-25,1.31E-23,46.87899354
272,C17orf53,-2.072222188,3.83E-16,-11.18802426,2.34E-25,1.38E-23,46.8221187
273,DGKB,2.0718875,1.34E-16,11.18563135,2.39E-25,1.40E-23,46.8020198
274,DACT3,2.071501311,2.38E-16,11.18287069,2.44E-25,1.43E-23,46.77883476
275,HK2,-2.070532079,-6.00E-16,-11.17594437,2.59E-25,1.51E-23,46.72067769
276,CXCL12,2.07007584,-5.06E-16,11.17268509,2.67E-25,1.55E-23,46.69331738
277,RELT,-2.068583846,4.34E-16,-11.16203144,2.92E-25,1.69E-23,46.60391259
278,RACGAP1,-2.067232793,2.80E-16,-11.1523906,3.17E-25,1.83E-23,46.52304463
279,SYNE1,2.063877583,-2.48E-16,11.12847483,3.88E-25,2.23E-23,46.32259119
280,SYNM,2.063796476,2.34E-16,11.12789717,3.90E-25,2.23E-23,46.31775214
281,NEFM,2.063120467,-3.98E-16,11.12308333,4.06E-25,2.32E-23,46.27743181
282,SLC1A7,2.060366472,-3.21E-16,11.10348785,4.80E-25,2.73E-23,46.11339384
283,LEPR,2.059029106,-8.91E-17,11.09398116,5.20E-25,2.95E-23,46.0338646
284,ZEB1,2.058216555,-1.76E-17,11.08820802,5.46E-25,3.08E-23,45.98558576
285,SAP30L,2.057544689,-1.53E-15,11.08343608,5.69E-25,3.20E-23,45.94568936
286,GRID1,2.056204857,-4.27E-16,11.07392434,6.17E-25,3.46E-23,45.86619162
